City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ribeira Grande,38.52,-28.7,61.38,81,45,20.29,PT,1611796528
Acapulco de Juárez,16.86,-99.89,78.8,78,75,2.08,MX,1611796354
Khovd,48.01,91.64,1.02,82,0,1.28,MN,1611796528
Formosa do Rio Preto,-11.05,-45.19,74.73,59,87,2.89,BR,1611796529
Brownsville,25.9,-97.5,66.2,51,1,8.05,US,1611796529
Yulara,-25.24,130.99,82.4,51,75,17.27,AU,1611796555
Coquimbo,-29.95,-71.34,60.8,82,0,8.05,CL,1611796396
Judenburg,47.17,14.67,17.6,86,75,3.44,AT,1611796556
Hambantota,6.12,81.12,71.6,100,75,1.14,LK,1611796556
Burnie,-41.07,145.92,62.01,49,20,13.0,AU,1611796556
Lano,10.17,11.47,68.65,21,100,6.35,NG,1611796556
Flinders,-34.58,150.86,73.0,65,98,5.99,AU,1611796557
Mendi,-6.18,143.65,62.42,86,100,2.8,PG,1611796557
Tautira,-17.73,-149.15,87.8,58,40,14.97,PF,1611796557
Salamiyah,35.01,37.05,48.79,89,31,15.32,SY,1611796557
Katsuura,35.13,140.3,46.0,65,75,16.11,JP,1611796453
Bluff,-46.6,168.33,52.0,74,100,18.01,NZ,1611796558
Wewak,-3.55,143.63,79.09,85,100,2.68,PG,1611796558
Port-Gentil,-0.72,8.78,79.54,78,100,4.61,GA,1611796558
Susanville,40.42,-120.65,37.4,70,90,4.03,US,1611796559
Port Hedland,-20.32,118.57,91.4,58,0,8.05,AU,1611796559
Airai,-8.93,125.41,64.42,100,100,4.38,TL,1611796559
Bar Harbor,44.39,-68.2,32.0,80,90,7.67,US,1611796559
Batagay-Alyta,67.8,130.41,-37.19,80,92,1.23,RU,1611796559
Haines Junction,60.75,-137.51,-22.0,76,51,0.96,CA,1611796559
Souillac,-20.52,57.52,73.4,88,20,3.44,MU,1611796560
Dikson,73.51,80.55,-24.0,85,100,10.8,RU,1611796560
Avarua,-21.21,-159.78,87.8,62,99,16.11,CK,1611796560
Houston,29.76,-95.36,60.8,29,1,12.66,US,1611796282
Shenjiamen,29.96,122.3,45.91,81,28,20.38,CN,1611796561
Barrow,71.29,-156.79,-7.6,71,90,5.93,US,1611796561
Mehtar Lām,34.67,70.21,42.48,45,0,4.88,AF,1611796561
Clyde River,70.47,-68.59,-14.8,76,1,1.39,CA,1611796561
La Palma,33.85,-118.05,57.0,62,1,6.91,US,1611796562
Qaanaaq,77.48,-69.36,-14.75,65,0,9.57,GL,1611796562
Sola,-13.88,167.55,86.0,79,75,17.56,VU,1611796562
Fare,-16.7,-151.02,81.36,71,100,12.01,PF,1611796563
Ushuaia,-54.8,-68.3,41.0,87,75,13.8,AR,1611796563
Hamilton,39.18,-84.53,28.99,86,90,14.97,US,1611796370
Najrān,17.49,44.13,51.8,46,0,1.72,SA,1611796563
Daru,-9.08,143.21,86.81,65,100,11.77,PG,1611796563
Cheney,47.49,-117.58,36.0,80,75,6.91,US,1611796563
Moss Vale,-34.55,150.38,73.0,64,90,13.8,AU,1611796564
Morgan City,29.7,-91.21,60.8,51,1,11.5,US,1611796564
Makakilo City,21.35,-158.09,80.6,57,75,12.66,US,1611796564
Elizabeth City,36.29,-76.25,43.0,75,90,9.22,US,1611796564
San Cristobal,7.77,-72.22,64.8,80,13,1.54,VE,1611796565
Mikuni,36.22,136.15,39.2,81,75,2.3,JP,1611796565
Rumuruti,0.27,36.54,54.34,83,0,6.15,KE,1611796565
Methóni,36.82,21.7,43.0,87,98,2.3,GR,1611796565
Guangzhou,23.12,113.25,66.0,59,75,15.66,CN,1611796327
Esso,55.93,158.7,9.81,87,0,2.8,RU,1611796566
Quatre Cocos,-20.21,57.76,75.99,88,20,3.44,MU,1611796566
Kaitangata,-46.28,169.85,53.01,73,82,11.99,NZ,1611796566
Korla,41.76,86.15,18.5,84,0,1.77,CN,1611796567
Kruisfontein,-34.0,24.73,60.01,90,15,1.01,ZA,1611796567
Glace Bay,46.2,-59.96,28.99,80,75,10.36,CA,1611796389
Deniliquin,-35.53,144.97,78.01,51,100,1.01,AU,1611796567
Mizdah,31.45,12.98,45.88,56,0,12.17,LY,1611796567
San Policarpo,12.18,125.51,80.76,82,100,15.52,PH,1611796568
Gravdal,68.12,13.5,28.69,91,0,12.1,NO,1611796568
Tasiilaq,65.61,-37.64,21.2,42,75,26.46,GL,1611796568
San Patricio,28.02,-97.52,66.2,27,1,5.75,US,1611796568
Caniço,32.63,-16.85,62.6,88,75,6.91,PT,1611796568
Hay River,60.82,-115.8,-14.8,76,100,2.3,CA,1611796569
Oktyabr'skiy,54.48,53.47,18.46,94,100,13.87,RU,1611796569
Örnsköldsvik,63.29,18.72,15.8,86,90,5.75,SE,1611796569
Carnarvon,-24.87,113.63,78.8,50,0,18.41,AU,1611796569
Japura,-0.32,102.35,76.5,87,100,0.81,ID,1611796570
Sawtell,-30.38,153.1,80.6,74,75,8.05,AU,1611796570
Muscat,23.61,58.59,60.8,77,0,3.44,OM,1611796570
Huainan,32.63,117.0,40.14,60,9,15.21,CN,1611796570
Tutóia,-2.76,-42.27,79.79,82,100,9.8,BR,1611796273
Half Moon Bay,37.46,-122.43,50.0,81,90,6.91,US,1611796570
East London,-33.02,27.91,69.35,77,82,15.61,ZA,1611796571
Mandalgovi,45.76,106.27,-3.68,78,0,12.57,MN,1611796571
Sitka,57.05,-135.33,30.2,37,1,8.05,US,1611796571
Rocha,-34.48,-54.33,62.64,87,0,3.53,UY,1611796466
Río Gallegos,-51.62,-69.22,50.0,43,75,20.71,AR,1611796572
Lompoc,34.64,-120.46,53.6,82,90,18.41,US,1611796572
College,64.86,-147.8,-14.01,76,40,2.28,US,1611796562
Saskylakh,71.92,114.08,-41.89,80,99,2.82,RU,1611796572
Murgab,37.5,61.97,30.2,80,0,6.91,TM,1611796572
Santa Vitória do Palmar,-33.52,-53.37,69.66,85,51,8.61,BR,1611796330
Dingle,11.0,122.67,80.13,81,100,11.83,PH,1611796573
Olinda,-8.01,-34.86,78.8,69,75,6.91,BR,1611796335
Comodoro Rivadavia,-45.87,-67.5,57.2,82,40,14.56,AR,1611796573
Poum,-20.23,164.02,80.87,74,99,7.09,NC,1611796573
Yining,29.04,114.56,45.27,80,2,0.83,CN,1611796574
Port Keats,-14.25,129.55,77.54,93,100,7.72,AU,1611796574
Kabare,-2.47,28.82,59.32,81,1,0.45,CD,1611796574
Presidencia Roque Sáenz Peña,-26.79,-60.44,79.0,75,0,3.0,AR,1611796574
Imeni Poliny Osipenko,52.42,136.49,-5.53,90,100,6.51,RU,1611796574
Alghero,40.56,8.32,55.4,88,40,5.75,IT,1611796575
Castro,-24.79,-50.01,65.55,94,100,4.23,BR,1611796575
Thompson,55.74,-97.86,-20.2,76,20,1.68,CA,1611796394
Assiut,27.18,31.18,50.0,57,0,11.5,EG,1611796349
Porto-Novo,6.5,2.6,82.4,83,40,12.66,BJ,1611796575
Tsabong,-26.02,22.4,73.33,31,73,6.42,BW,1611796576
Lebu,-37.62,-73.65,56.89,85,97,6.91,CL,1611796576
Palmeirais,-5.98,-43.06,75.02,85,100,2.04,BR,1611796576
Maceió,-9.67,-35.74,75.2,88,75,2.3,BR,1611796576
Niquero,20.04,-77.58,75.0,79,0,3.96,CU,1611796576
Jalu,29.03,21.55,47.52,75,0,7.34,LY,1611796577
Santa Catarina de Tepehuanes,25.35,-105.73,50.07,42,89,3.87,MX,1611796577
Torbay,47.67,-52.73,28.0,86,90,5.75,CA,1611796577
Kamyshnya,50.19,33.68,35.46,98,100,7.65,UA,1611796577
Yuzhno-Sukhokumsk,44.66,45.64,43.14,85,100,9.89,RU,1611796577
Mackay,-21.15,149.2,86.0,66,64,20.71,AU,1611796578
Gilbués,-9.83,-45.34,78.85,52,97,3.04,BR,1611796578
Norfolk,42.17,-71.25,34.0,97,95,3.11,US,1611796406
Launceston,-41.45,147.17,68.0,45,40,17.27,AU,1611796443
Tiksi,71.69,128.87,-34.76,80,100,2.13,RU,1611796578
Rabat,33.99,-6.84,61.0,100,40,4.61,MA,1611796444
Catia La Mar,10.6,-67.03,80.6,78,40,11.18,VE,1611796579
Ilebo,-4.32,20.58,70.57,96,100,1.3,CD,1611796579
Mayumba,-3.43,10.66,77.67,86,100,2.86,GA,1611796579
Kilindoni,-7.91,39.67,80.6,78,7,10.4,TZ,1611796579
Evensk,61.95,159.23,-6.9,84,100,13.4,RU,1611796580
Svarstad,59.4,9.97,18.0,75,0,4.29,NO,1611796580
Aklavik,68.22,-135.01,-16.6,76,97,2.3,CA,1611796580
Bilma,18.69,12.92,61.92,29,0,14.56,NE,1611796580
Galle,6.04,80.22,73.83,84,6,3.69,LK,1611796580
Nikolskoye,59.7,30.79,33.8,86,90,2.24,RU,1611796580
Khorixas,-20.37,14.97,71.83,62,68,6.58,NA,1611796581
Gao,16.64,1.64,64.83,19,0,11.5,ML,1611796581
Ixtapa,20.7,-105.2,70.0,83,1,5.75,MX,1611796581
Portland,45.52,-122.68,43.0,75,75,10.36,US,1611796409
Beyneu,45.32,55.2,28.74,93,0,19.66,KZ,1611796581
Petropavlovsk-Kamchatskiy,53.05,158.65,12.2,62,43,4.47,RU,1611796581
Faya,18.39,42.45,57.2,47,0,5.75,SA,1611796582
Pevek,69.7,170.31,-21.57,88,100,4.56,RU,1611796582
Challans,46.84,-1.87,53.6,94,90,12.66,FR,1611796582
Birin,26.89,88.07,43.11,80,0,3.67,NP,1611796582
Yantal',56.85,105.25,-20.47,84,100,5.08,RU,1611796582
Narsaq,60.92,-46.05,39.2,33,75,20.71,GL,1611796583
San Luis,-33.3,-66.34,79.52,40,44,7.29,AR,1611796583
Prainha,-1.8,-53.48,76.26,86,100,4.16,BR,1611796583
Norman Wells,65.28,-126.83,-20.2,76,75,4.61,CA,1611796583
Mumford,5.26,-0.76,78.03,91,0,8.34,GH,1611796583
Alice Springs,-23.7,133.88,88.0,51,40,5.75,AU,1611796574
Rezh,57.37,61.4,25.88,94,100,10.63,RU,1611796584
Hässleholm,56.16,13.77,33.8,100,90,4.61,SE,1611796584
Khatanga,71.97,102.5,-31.18,80,0,6.98,RU,1611796584
Kathmandu,27.72,85.32,37.4,93,20,2.3,NP,1611796535
Lüderitz,-26.65,15.16,66.88,60,0,26.08,NA,1611796585
High Prairie,55.43,-116.49,-4.0,77,100,9.22,CA,1611796585
Ponta do Sol,32.67,-17.1,60.01,79,80,5.32,PT,1611796585
Chandler,33.31,-111.84,57.99,35,20,11.5,US,1611796304
Mercedes,-34.65,-59.43,77.0,46,0,3.0,AR,1611796585
Palāsa,18.77,84.42,68.45,89,19,3.65,IN,1611796586
Cidreira,-30.18,-50.21,73.96,91,87,7.85,BR,1611796586
Orcopampa,-15.27,-72.34,46.67,61,52,6.76,PE,1611796586
Ancud,-41.87,-73.82,55.4,76,20,4.61,CL,1611796586
Kiama,-34.68,150.87,73.0,65,95,5.99,AU,1611796586
Maku,39.29,44.45,27.55,83,100,1.88,IR,1611796586
Saint-Augustin,51.23,-58.65,12.2,93,0,10.54,CA,1611796587
Lancaster,40.25,-76.25,32.0,68,100,3.0,US,1611796587
Plettenberg Bay,-34.05,23.37,62.83,78,62,2.59,ZA,1611796587
Aguçadoura,41.43,-8.78,55.4,100,75,5.75,PT,1611796587
Malm,64.07,11.22,35.01,93,75,5.75,NO,1611796587
Aras,42.56,-2.36,46.4,93,0,4.97,ES,1611796588
Ozernovskiy,51.5,156.52,27.9,92,99,9.01,RU,1611796588
Nchelenge,-9.35,28.73,69.13,79,80,1.68,ZM,1611796588
Thinadhoo,0.53,72.93,81.39,77,78,17.83,MV,1611796588
Saint-Joseph,-21.37,55.62,77.0,61,0,6.91,RE,1611796589
Saint-Pierre,-21.34,55.48,77.0,61,0,6.91,RE,1611796589
Gouré,13.98,10.27,72.0,13,83,10.0,NE,1611796589
Bengkulu,-3.8,102.27,76.42,86,100,4.41,ID,1611796589
São João da Barra,-21.64,-41.05,78.06,81,0,19.71,BR,1611796589
Linxia Chengguanzhen,35.6,103.21,19.02,85,94,0.74,CN,1611796590
Vilyuysk,63.76,121.62,-46.34,77,100,2.46,RU,1611796590
Ahipara,-35.17,173.17,72.52,65,39,9.86,NZ,1611796590
Saint George,37.1,-113.58,43.0,49,90,9.22,US,1611796590
Bandarbeyla,9.49,50.81,72.86,75,14,16.06,SO,1611796591
Kuching,1.55,110.33,75.2,94,40,2.3,MY,1611796591
Dromolaxia,34.88,33.59,53.01,71,20,4.61,CY,1611796591
Forio,40.73,13.86,52.0,56,0,4.61,IT,1611796591
Shingū,33.73,135.98,53.6,58,40,1.14,JP,1611796591
Madaoua,14.07,5.96,67.93,17,0,13.27,NE,1611796592
Dolores,-36.31,-57.68,63.32,68,3,8.99,AR,1611796592
Béoumi,7.67,-5.58,78.8,61,5,6.91,CI,1611796592
Qaqortoq,60.72,-46.03,39.2,33,75,20.71,GL,1611796592
Chapais,49.78,-74.85,14.0,92,90,9.22,CA,1611796592
Altay,47.87,88.12,1.35,75,0,1.07,CN,1611796593
Grindavik,63.84,-22.43,30.2,69,0,20.71,IS,1611796593
Tulun,54.56,100.58,4.87,94,100,5.53,RU,1611796593
Tura,25.52,90.22,54.99,71,0,3.38,IN,1611796593
Lagoa,39.05,-27.98,60.24,82,0,25.41,PT,1611796593
Laguna,38.42,-121.42,46.99,87,90,9.22,US,1611796588
Magalia,39.81,-121.58,46.4,87,90,23.02,US,1611796594
Impfondo,1.64,18.07,69.6,93,100,2.28,CG,1611796594
Agirish,61.92,63.02,12.94,97,100,4.76,RU,1611796594
Ndola,-12.96,28.64,66.0,93,100,1.99,ZM,1611796594
Saldanha,-33.01,17.94,59.0,72,0,6.91,ZA,1611796594
Mount Isa,-20.73,139.5,93.2,43,44,6.91,AU,1611796595
Tilichiki,60.47,166.1,-5.87,90,84,6.73,RU,1611796595
Kavieng,-2.57,150.8,85.14,71,100,10.36,PG,1611796595
Kolpashevo,58.31,82.91,-24.83,84,100,3.42,RU,1611796595
Varkaus,62.32,27.87,32.0,100,90,4.61,FI,1611796595
Mazamari,-11.33,-74.53,72.28,78,91,0.85,PE,1611796596
Shizunai-furukawachō,42.33,142.37,25.12,89,100,12.8,JP,1611796596
Jiaozuo,35.24,113.23,37.76,45,0,12.28,CN,1611796596
Santa Cruz de la Sierra,-17.8,-63.17,74.26,86,100,12.71,BO,1611796580
Rovaniemi,66.5,25.72,17.6,86,90,11.5,FI,1611796596
Oodweyne,9.41,45.06,62.19,46,0,5.59,SO,1611796596
Dera Ghazi Khan,30.06,70.63,46.58,45,0,2.3,PK,1611796597
Henties Bay,-22.12,14.28,66.99,86,0,5.88,NA,1611796597
Talnakh,69.49,88.4,-29.7,82,0,2.89,RU,1611796597
Fairbanks,64.84,-147.72,-14.01,76,40,1.74,US,1611796588
Sibolga,1.74,98.78,76.69,71,100,4.27,ID,1611796598
Guane,22.2,-84.09,73.4,84,28,3.36,CU,1611796598
Hong Kong,22.29,114.16,64.0,80,5,8.59,HK,1611796349
Usakos,-22.0,15.6,73.8,55,39,0.87,NA,1611796598
Chui,-33.7,-53.46,68.14,87,14,8.23,UY,1611796598
La Ronge,55.1,-105.28,-4.0,77,0,9.22,CA,1611796599
Cedar City,37.68,-113.06,30.2,64,90,6.91,US,1611796488
Margate,51.38,1.39,46.99,88,100,1.99,GB,1611796517
Mahrīz,31.59,54.43,37.4,25,0,6.91,IR,1611796599
Udachny,66.42,112.4,-39.1,79,6,2.71,RU,1611796599
Darnah,32.77,22.64,53.02,64,100,12.39,LY,1611796600
Mayo,38.89,-76.51,37.99,65,90,3.44,US,1611796600
Srednekolymsk,67.45,153.68,-25.31,85,100,11.99,RU,1611796600
Klaksvík,62.23,-6.59,30.2,69,75,6.91,FO,1611796600
Szydłowiec,51.23,20.86,30.99,84,87,6.76,PL,1611796600
Lenger,42.18,69.88,26.6,86,0,6.71,KZ,1611796601
Itoman,26.12,127.67,66.2,59,75,11.5,JP,1611796601
Marzuq,14.4,46.47,54.39,56,0,0.83,YE,1611796601
Ambon City,-3.7,128.18,87.8,66,40,6.91,ID,1611796601
Tashtagol,52.77,87.89,19.92,95,100,13.35,RU,1611796602
Palmares do Sul,-30.26,-50.51,74.21,91,82,5.59,BR,1611796602
Lincoln,40.8,-96.67,21.2,68,90,3.98,US,1611796474
Nizhniy Ingash,56.2,96.53,-8.25,88,63,8.84,RU,1611796602
Seoul,37.57,126.98,35.6,100,90,11.5,KR,1611796602
Beausejour,50.06,-96.52,-13.0,74,38,2.8,CA,1611796603
Calafell,41.2,1.57,62.6,63,0,16.11,ES,1611796603
Noumea,-22.28,166.46,86.0,70,20,19.57,NC,1611796603
Erdemli,36.6,34.31,51.06,58,15,15.37,TR,1611796603
Katobu,-4.94,122.53,83.08,74,100,7.25,ID,1611796603
Pangnirtung,66.15,-65.71,4.46,66,0,3.15,CA,1611796604
Faanui,-16.48,-151.75,81.54,72,6,12.5,PF,1611796604
Prince Rupert,54.32,-130.32,37.4,69,75,5.75,CA,1611796604
Grand Gaube,-20.01,57.66,75.99,82,28,1.99,MU,1611796604
Springbok,-29.66,17.89,57.38,54,0,5.61,ZA,1611796604
Stornoway,58.21,-6.39,37.4,70,20,14.97,GB,1611796605
Mandan,46.83,-100.89,15.8,92,75,14.97,US,1611796589
Constitución,-35.33,-72.42,57.42,78,100,17.0,CL,1611796605
Valdosta,30.83,-83.28,60.8,88,90,3.44,US,1611796405
Tual,-5.67,132.75,84.13,77,100,15.37,ID,1611796605
Zakopane,49.3,19.95,3.2,85,0,4.61,PL,1611796605
Ambilobe,-13.2,49.05,73.35,93,1,1.77,MG,1611796606
Praia,14.92,-23.51,69.8,83,0,16.11,CV,1611796501
Ilulissat,69.22,-51.1,6.8,43,0,1.14,GL,1611796606
Banepā,27.63,85.52,37.4,93,20,2.3,NP,1611796606
Sulangan,11.14,123.72,80.47,80,100,14.72,PH,1611796606
Wanning,18.8,110.4,69.57,81,3,11.41,CN,1611796606
Bima,-8.47,118.72,82.85,76,100,2.77,ID,1611796607
Moro,26.66,68.0,49.71,39,0,4.52,PK,1611796607
Caracolí,6.41,-74.76,72.37,90,100,3.24,CO,1611796607
Jumla,29.27,82.18,31.73,40,0,5.77,NP,1611796505
Khandyga,62.67,135.6,-51.88,76,63,0.18,RU,1611796607
Kattivākkam,13.22,80.32,73.4,88,40,2.3,IN,1611796608
Isangel,-19.55,169.27,86.0,79,90,17.27,VU,1611796608
Marawi,8.0,124.29,77.0,72,14,4.0,PH,1611796608
Ondangwa,-17.92,15.95,71.6,88,100,4.61,NA,1611796608
Clonakilty,51.62,-8.87,52.0,93,75,20.71,IE,1611796609
Sumbe,-11.21,13.84,75.43,85,100,6.89,AO,1611796609
Kaeo,-35.1,173.78,80.19,46,2,9.8,NZ,1611796609
Ketchikan,55.34,-131.65,32.0,59,1,8.05,US,1611796609
Nishihara,26.18,127.76,66.2,59,75,11.5,JP,1611796609
Artyom,40.47,50.33,46.4,93,75,18.41,AZ,1611796610
Berdigestyakh,62.1,126.7,-44.28,78,100,2.33,RU,1611796610
La Plata,-34.92,-57.95,75.0,73,0,1.99,AR,1611796610
George,-33.96,22.46,55.4,88,0,2.3,ZA,1611796610
Jiamusi,46.83,130.35,-4.54,91,100,3.62,CN,1611796610
Adrar,20.5,-10.07,64.98,25,0,10.33,MR,1611796610
Okha,53.57,142.95,10.26,95,100,16.64,RU,1611796611
Lavrentiya,65.58,-171.0,-0.35,88,97,16.26,RU,1611796611
Iranshahr,27.2,60.68,41.0,13,0,6.91,IR,1611796611
Cartagena,10.4,-75.51,78.8,83,0,11.5,CO,1611796491
Kotagiri,11.43,76.88,64.4,94,20,3.44,IN,1611796611
Alice,27.75,-98.07,64.4,29,1,8.05,US,1611796612
Bălceşti,44.62,23.95,28.99,80,0,9.22,RO,1611796612
Laas,46.62,10.7,27.0,87,100,6.02,IT,1611796612
Gashua,12.87,11.05,66.81,18,72,9.78,NG,1611796612
Labuhan,-6.88,112.21,80.51,78,100,7.52,ID,1611796612
Asmara,15.33,38.93,52.12,60,2,0.89,ER,1611796612
Tselinnoye,53.08,85.67,18.79,97,100,14.7,RU,1611796613
Nagato,34.38,131.2,46.4,81,75,1.14,JP,1611796613
Husavik,66.04,-17.34,17.6,86,90,4.61,IS,1611796613
Orbetello,42.44,11.22,39.2,81,20,3.44,IT,1611796613
Channel-Port aux Basques,47.57,-59.14,26.67,93,65,13.65,CA,1611796613
Diplo,24.47,69.58,54.37,34,0,8.43,PK,1611796614
Kapuskasing,49.42,-82.43,-0.4,71,98,8.05,CA,1611796614
Sobolevo,54.43,31.9,24.55,98,100,1.97,RU,1611796614
Nanga Eboko,4.68,12.37,69.19,96,87,2.77,CM,1611796614
Lorengau,-2.02,147.27,84.24,75,100,9.86,PG,1611796615
Rānīr Bāzār,23.83,91.37,55.4,100,90,2.84,IN,1611796615
Guerrero Negro,27.98,-114.06,59.45,54,100,13.2,MX,1611796615
Fengzhen,40.44,113.15,4.32,62,0,16.89,CN,1611796615
Iquitos,-3.75,-73.25,77.0,94,75,2.3,PE,1611796615
Felanitx,39.47,3.15,52.0,100,20,1.81,ES,1611796615
Booué,-0.09,11.94,72.63,91,100,1.54,GA,1611796616
Aksu,41.12,80.26,14.61,88,0,1.72,CN,1611796616
Russell,32.35,-85.2,57.2,67,90,20.71,US,1611796527
Meulaboh,4.14,96.13,76.59,80,100,4.7,ID,1611796616
Zhireken,52.82,117.31,-25.11,82,0,1.88,RU,1611796616
Hasaki,35.73,140.83,46.4,61,75,18.41,JP,1611796617
Forbes,-33.38,148.02,81.0,51,100,7.0,AU,1611796617
Puerto Escondido,15.85,-97.07,80.6,74,75,1.83,MX,1611796617
Port Elizabeth,-33.92,25.57,62.6,77,0,4.61,ZA,1611796617
Pacific Grove,36.62,-121.92,46.99,93,90,8.05,US,1611796617
Gold Coast,-28.0,153.43,86.0,57,40,17.27,AU,1611796527
Hervey Bay,-25.3,152.85,86.0,58,4,7.0,AU,1611796618
Puerto del Rosario,28.5,-13.86,60.8,48,0,5.75,ES,1611796618
Riviere-au-Renard,49.0,-64.4,23.0,74,90,6.91,CA,1611796618
Koslan,63.46,48.9,29.43,98,100,9.48,RU,1611796618
Giyani,-23.3,30.72,73.13,90,1,2.24,ZA,1611796619
Vao,-22.67,167.48,78.37,86,100,19.98,NC,1611796619
Puerto Colombia,10.99,-74.95,78.8,78,0,11.5,CO,1611796619
Khipro,25.83,69.38,50.68,39,0,5.57,PK,1611796619
Leningradskiy,69.38,178.42,-16.91,87,100,3.6,RU,1611796619
Parabel',58.7,81.48,-22.58,84,99,2.51,RU,1611796619
Bontang,0.13,117.5,78.75,85,100,6.53,ID,1611796620
Codrington,-38.27,141.97,76.23,55,99,15.55,AU,1611796620
Usinsk,65.99,57.53,1.45,94,100,16.17,RU,1611796620
Lieksa,63.32,30.02,25.79,98,93,4.72,FI,1611796620
Bagdarin,54.43,113.6,-27.6,73,0,2.06,RU,1611796620
Arlit,18.74,7.39,60.57,28,0,5.08,NE,1611796621
Khasan,42.43,130.64,22.8,98,100,15.9,RU,1611796621
